Ticker,Company,Sector,Industry,Yahoo Name
IPG,Interpublic Group of Companies (The),Communication Services,Advertising,"The Interpublic Group of Companies, Inc."
INTU,Intuit,Information Technology,Application Software,Intuit Inc.
ISRG,Intuitive Surgical,Health Care,Health Care Equipment,"Intuitive Surgical, Inc."
IVZ,Invesco,Financials,Asset Management & Custody Banks,Invesco Ltd.
INVH,Invitation Homes,Real Estate,Single-Family Residential REITs,Invitation Homes Inc.
IQV,IQVIA,Health Care,Life Sciences Tools & Services,IQVIA Holdings Inc.
IRM,Iron Mountain,Real Estate,Other Specialized REITs,Iron Mountain Incorporated
JBHT,J.B. Hunt,Industrials,Cargo Ground Transportation,"J.B. Hunt Transport Services, Inc."
JBL,Jabil,Information Technology,Electronic Manufacturing Services,Jabil Inc.
JKHY,Jack Henry & Associates,Financials,Transaction & Payment Processing Services,"Jack Henry & Associates, Inc."
J,Jacobs Solutions,Industrials,Construction & Engineering,Jacobs Solutions Inc.
JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,Johnson & Johnson
JCI,Johnson Controls,Industrials,Building Products,Johnson Controls International plc
JPM,JPMorgan Chase,Financials,Diversified Banks,JPMorgan Chase & Co.
JNPR,Juniper Networks,Information Technology,Communications Equipment,"Juniper Networks, Inc."
K,Kellanova,Consumer Staples,Packaged Foods & Meats,Kellanova
KVUE,Kenvue,Consumer Staples,Personal Care Products,Kenvue Inc.
KDP,Keurig Dr Pepper,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,Keurig Dr Pepper Inc.
KEY,KeyCorp,Financials,Regional Banks,KeyCorp
KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,"Keysight Technologies, Inc."
KMB,Kimberly-Clark,Consumer Staples,Household Products,Kimberly-Clark Corporation
KIM,Kimco Realty,Real Estate,Retail REITs,Kimco Realty Corporation
KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,"Kinder Morgan, Inc."
KKR,KKR & Co.,Financials,Asset Management & Custody Banks,KKR & Co. Inc.
KLAC,KLA Corporation,Information Technology,Semiconductor Materials & Equipment,KLA Corporation
KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,The Kraft Heinz Company
KR,Kroger,Consumer Staples,Food Retail,The Kroger Co.
LHX,L3Harris,Industrials,Aerospace & Defense,"L3Harris Technologies, Inc."
LH,Labcorp,Health Care,Health Care Services,Labcorp Holdings Inc.
LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,Lam Research Corporation
LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,"Lamb Weston Holdings, Inc."
LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,Las Vegas Sands Corp.
LDOS,Leidos,Industrials,Diversified Support Services,"Leidos Holdings, Inc."
LEN,Lennar,Consumer Discretionary,Homebuilding,Lennar Corporation
LII,Lennox International,Industrials,Building Products,Lennox International Inc.
LLY,Lilly (Eli),Health Care,Pharmaceuticals,Eli Lilly and Company
LIN,Linde plc,Materials,Industrial Gases,Linde plc
LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment,"Live Nation Entertainment, Inc."
LKQ,LKQ Corporation,Consumer Discretionary,Distributors,LKQ Corporation
LMT,Lockheed Martin,Industrials,Aerospace & Defense,Lockheed Martin Corporation
L,Loews Corporation,Financials,Multi-line Insurance,Loews Corporation
LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,"Lowe's Companies, Inc."
LULU,Lululemon Athletica,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",lululemon athletica inc.
LYB,LyondellBasell,Materials,Specialty Chemicals,LyondellBasell Industries N.V.
MTB,M&T Bank,Financials,Regional Banks,M&T Bank Corporation
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,Marathon Petroleum Corporation
MKTX,MarketAxess,Financials,Financial Exchanges & Data,MarketAxess Holdings Inc.
MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Marriott International, Inc."
MMC,Marsh McLennan,Financials,Insurance Brokers,"Marsh & McLennan Companies, Inc."
MLM,Martin Marietta Materials,Materials,Construction Materials,"Martin Marietta Materials, Inc."
MAS,Masco,Industrials,Building Products,Masco Corporation
MA,Mastercard,Financials,Transaction & Payment Processing Services,Mastercard Incorporated
MTCH,Match Group,Communication Services,Interactive Media & Services,"Match Group, Inc."
MKC,McCormick & Company,Consumer Staples,Packaged Foods & Meats,"McCormick & Company, Incorporated"
MCD,McDonald's,Consumer Discretionary,Restaurants,McDonald's Corporation
MCK,McKesson Corporation,Health Care,Health Care Distributors,McKesson Corporation
MDT,Medtronic,Health Care,Health Care Equipment,Medtronic plc
MRK,Merck & Co.,Health Care,Pharmaceuticals,"Merck & Co., Inc."
META,Meta Platforms,Communication Services,Interactive Media & Services,"Meta Platforms, Inc."
MET,MetLife,Financials,Life & Health Insurance,"MetLife, Inc."
MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,Mettler-Toledo International Inc.
MGM,MGM Resorts,Consumer Discretionary,Casinos & Gaming,MGM Resorts International
MCHP,Microchip Technology,Information Technology,Semiconductors,Microchip Technology Incorporated
MU,Micron Technology,Information Technology,Semiconductors,"Micron Technology, Inc."
MSFT,Microsoft,Information Technology,Systems Software,Microsoft Corporation
MAA,Mid-America Apartment Communities,Real Estate,Multi-Family Residential REITs,"Mid-America Apartment Communities, Inc."
MRNA,Moderna,Health Care,Biotechnology,"Moderna, Inc."
MHK,Mohawk Industries,Consumer Discretionary,Home Furnishings,"Mohawk Industries, Inc."
MOH,Molina Healthcare,Health Care,Managed Health Care,"Molina Healthcare, Inc."
TAP,Molson Coors Beverage Company,Consumer Staples,Brewers,Molson Coors Beverage Company
MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,"Mondelez International, Inc."
MPWR,Monolithic Power Systems,Information Technology,Semiconductors,"Monolithic Power Systems, Inc."
MNST,Monster Beverage,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,Monster Beverage Corporation
MCO,Moody's Corporation,Financials,Financial Exchanges & Data,Moody's Corporation
MS,Morgan Stanley,Financials,Investment Banking & Brokerage,Morgan Stanley
MOS,Mosaic Company (The),Materials,Fertilizers & Agricultural Chemicals,The Mosaic Company
MSI,Motorola Solutions,Information Technology,Communications Equipment,"Motorola Solutions, Inc."
MSCI,MSCI Inc.,Financials,Financial Exchanges & Data,MSCI Inc.
NDAQ,"Nasdaq, Inc.",Financials,Financial Exchanges & Data,"Nasdaq, Inc."
NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals","NetApp, Inc."
NFLX,Netflix,Communication Services,Movies & Entertainment,"Netflix, Inc."
NEM,Newmont,Materials,Gold,Newmont Corporation
NWSA,News Corp (Class A),Communication Services,Publishing,News Corporation
NWS,News Corp (Class B),Communication Services,Publishing,News Corporation
NEE,NextEra Energy,Utilities,Multi-Utilities,"NextEra Energy, Inc."
NKE,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","NIKE, Inc."
NI,NiSource,Utilities,Multi-Utilities,NiSource Inc.
NDSN,Nordson Corporation,Industrials,Industrial Machinery & Supplies & Components,Nordson Corporation
NSC,Norfolk Southern,Industrials,Rail Transportation,Norfolk Southern Corporation
NTRS,Northern Trust,Financials,Asset Management & Custody Banks,Northern Trust Corporation
NOC,Northrop Grumman,Industrials,Aerospace & Defense,Northrop Grumman Corporation
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Norwegian Cruise Line Holdings Ltd.
NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,"NRG Energy, Inc."
NUE,Nucor,Materials,Steel,Nucor Corporation
NVDA,Nvidia,Information Technology,Semiconductors,NVIDIA Corporation
NVR,"NVR, Inc.",Consumer Discretionary,Homebuilding,"NVR, Inc."
NXPI,NXP Semiconductors,Information Technology,Semiconductors,NXP Semiconductors N.V.
ORLY,O’Reilly Automotive,Consumer Discretionary,Automotive Retail,"O'Reilly Automotive, Inc."
OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,Occidental Petroleum Corporation
ODFL,Old Dominion,Industrials,Cargo Ground Transportation,"Old Dominion Freight Line, Inc."
OMC,Omnicom Group,Communication Services,Advertising,Omnicom Group Inc.
ON,ON Semiconductor,Information Technology,Semiconductors,ON Semiconductor Corporation
OKE,Oneok,Energy,Oil & Gas Storage & Transportation,"ONEOK, Inc."
ORCL,Oracle Corporation,Information Technology,Application Software,Oracle Corporation
OTIS,Otis Worldwide,Industrials,Industrial Machinery & Supplies & Components,Otis Worldwide Corporation
PCAR,Paccar,Industrials,Construction Machinery & Heavy Transportation Equipment,PACCAR Inc
PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,Packaging Corporation of America
PLTR,Palantir Technologies,Information Technology,Application Software,Palantir Technologies Inc.
PANW,Palo Alto Networks,Information Technology,Systems Software,"Palo Alto Networks, Inc."
PARA,Paramount Global,Communication Services,Movies & Entertainment,Paramount Global
PH,Parker Hannifin,Industrials,Industrial Machinery & Supplies & Components,Parker-Hannifin Corporation
PAYX,Paychex,Industrials,Human Resource & Employment Services,"Paychex, Inc."
PAYC,Paycom,Industrials,Human Resource & Employment Services,"Paycom Software, Inc."
PYPL,PayPal,Financials,Transaction & Payment Processing Services,"PayPal Holdings, Inc."
PNR,Pentair,Industrials,Industrial Machinery & Supplies & Components,Pentair plc
PEP,PepsiCo,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"PepsiCo, Inc."
PFE,Pfizer,Health Care,Pharmaceuticals,Pfizer Inc.
PCG,PG&E Corporation,Utilities,Multi-Utilities,PG&E Corporation
PM,Philip Morris International,Consumer Staples,Tobacco,Philip Morris International Inc.
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,Phillips 66
PNW,Pinnacle West Capital,Utilities,Multi-Utilities,Pinnacle West Capital Corporation
PNC,PNC Financial Services,Financials,Diversified Banks,"The PNC Financial Services Group, Inc."
POOL,Pool Corporation,Consumer Discretionary,Distributors,Pool Corporation
PPG,PPG Industries,Materials,Specialty Chemicals,"PPG Industries, Inc."
PPL,PPL Corporation,Utilities,Electric Utilities,PPL Corporation
PFG,Principal Financial Group,Financials,Life & Health Insurance,"Principal Financial Group, Inc."
PG,Procter & Gamble,Consumer Staples,Personal Care Products,The Procter & Gamble Company
PGR,Progressive Corporation,Financials,Property & Casualty Insurance,The Progressive Corporation
PLD,Prologis,Real Estate,Industrial REITs,"Prologis, Inc."
PRU,Prudential Financial,Financials,Life & Health Insurance,"Prudential Financial, Inc."
PEG,Public Service Enterprise Group,Utilities,Electric Utilities,Public Service Enterprise Group Incorporated
PTC,PTC Inc.,Information Technology,Application Software,PTC Inc.
PSA,Public Storage,Real Estate,Self-Storage REITs,Public Storage
PHM,PulteGroup,Consumer Discretionary,Homebuilding,"PulteGroup, Inc."
PWR,Quanta Services,Industrials,Construction & Engineering,"Quanta Services, Inc."
QCOM,Qualcomm,Information Technology,Semiconductors,QUALCOMM Incorporated
DGX,Quest Diagnostics,Health Care,Health Care Services,Quest Diagnostics Incorporated
RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",Ralph Lauren Corporation
RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,"Raymond James Financial, Inc."
RTX,RTX Corporation,Industrials,Aerospace & Defense,RTX Corporation
O,Realty Income,Real Estate,Retail REITs,Realty Income Corporation
REG,Regency Centers,Real Estate,Retail REITs,Regency Centers Corporation
REGN,Regeneron Pharmaceuticals,Health Care,Biotechnology,"Regeneron Pharmaceuticals, Inc."
RF,Regions Financial Corporation,Financials,Regional Banks,Regions Financial Corporation
RSG,Republic Services,Industrials,Environmental & Facilities Services,"Republic Services, Inc."
RMD,ResMed,Health Care,Health Care Equipment,ResMed Inc.
RVTY,Revvity,Health Care,Health Care Equipment,"Revvity, Inc."
ROK,Rockwell Automation,Industrials,Electrical Components & Equipment,"Rockwell Automation, Inc."
ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,"Rollins, Inc."
ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,"Roper Technologies, Inc."
ROST,Ross Stores,Consumer Discretionary,Apparel Retail,"Ross Stores, Inc."
RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Royal Caribbean Cruises Ltd.
SPGI,S&P Global,Financials,Financial Exchanges & Data,S&P Global Inc.
CRM,Salesforce,Information Technology,Application Software,"Salesforce, Inc."
SBAC,SBA Communications,Real Estate,Telecom Tower REITs,SBA Communications Corporation
SLB,Schlumberger,Energy,Oil & Gas Equipment & Services,Schlumberger Limited
STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals",Seagate Technology Holdings plc
SRE,Sempra,Utilities,Multi-Utilities,Sempra
NOW,ServiceNow,Information Technology,Systems Software,"ServiceNow, Inc."
SHW,Sherwin-Williams,Materials,Specialty Chemicals,The Sherwin-Williams Company
SPG,Simon Property Group,Real Estate,Retail REITs,"Simon Property Group, Inc."
SWKS,Skyworks Solutions,Information Technology,Semiconductors,"Skyworks Solutions, Inc."
SJM,J.M. Smucker Company (The),Consumer Staples,Packaged Foods & Meats,The J. M. Smucker Company
SW,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,Smurfit Westrock Plc
SNA,Snap-on,Industrials,Industrial Machinery & Supplies & Components,Snap-on Incorporated
SOLV,Solventum,Health Care,Health Care Technology,Solventum Corporation
SO,Southern Company,Utilities,Electric Utilities,The Southern Company
LUV,Southwest Airlines,Industrials,Passenger Airlines,Southwest Airlines Co.
SWK,Stanley Black & Decker,Industrials,Industrial Machinery & Supplies & Components,"Stanley Black & Decker, Inc."
SBUX,Starbucks,Consumer Discretionary,Restaurants,Starbucks Corporation
STT,State Street Corporation,Financials,Asset Management & Custody Banks,State Street Corporation
STLD,Steel Dynamics,Materials,Steel,"Steel Dynamics, Inc."
STE,Steris,Health Care,Health Care Equipment,STERIS plc
SYK,Stryker Corporation,Health Care,Health Care Equipment,Stryker Corporation
SMCI,Supermicro,Information Technology,"Technology Hardware, Storage & Peripherals","Super Micro Computer, Inc."
SYF,Synchrony Financial,Financials,Consumer Finance,Synchrony Financial
SNPS,Synopsys,Information Technology,Application Software,"Synopsys, Inc."
SYY,Sysco,Consumer Staples,Food Distributors,Sysco Corporation
TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,"T-Mobile US, Inc."
TROW,T. Rowe Price,Financials,Asset Management & Custody Banks,"T. Rowe Price Group, Inc."
TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment,"Take-Two Interactive Software, Inc."
TPR,"Tapestry, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Tapestry, Inc."
TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,Targa Resources Corp.
TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,Target Corporation
TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services,TE Connectivity plc
TDY,Teledyne Technologies,Information Technology,Electronic Equipment & Instruments,Teledyne Technologies Incorporated
TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,"Teradyne, Inc."
TSLA,"Tesla, Inc.",Consumer Discretionary,Automobile Manufacturers,"Tesla, Inc."
TXN,Texas Instruments,Information Technology,Semiconductors,Texas Instruments Incorporated
TPL,Texas Pacific Land Corporation,Energy,Oil & Gas Exploration & Production,Texas Pacific Land Corporation
TXT,Textron,Industrials,Aerospace & Defense,Textron Inc.
TMO,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services,Thermo Fisher Scientific Inc.
TJX,TJX Companies,Consumer Discretionary,Apparel Retail,"The TJX Companies, Inc."
TKO,TKO Group Holdings,Communication Services,Movies & Entertainment,"TKO Group Holdings, Inc."
TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,Tractor Supply Company
TT,Trane Technologies,Industrials,Building Products,Trane Technologies plc
TDG,TransDigm Group,Industrials,Aerospace & Defense,TransDigm Group Incorporated
TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,"The Travelers Companies, Inc."
TRMB,Trimble Inc.,Information Technology,Electronic Equipment & Instruments,Trimble Inc.
TFC,Truist Financial,Financials,Diversified Banks,Truist Financial Corporation
TYL,Tyler Technologies,Information Technology,Application Software,"Tyler Technologies, Inc."
TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,"Tyson Foods, Inc."
USB,U.S. Bancorp,Financials,Diversified Banks,U.S. Bancorp
UBER,Uber,Industrials,Passenger Ground Transportation,"Uber Technologies, Inc."
UDR,"UDR, Inc.",Real Estate,Multi-Family Residential REITs,"UDR, Inc."
ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,"Ulta Beauty, Inc."
UNP,Union Pacific Corporation,Industrials,Rail Transportation,Union Pacific Corporation
UAL,United Airlines Holdings,Industrials,Passenger Airlines,"United Airlines Holdings, Inc."
UPS,United Parcel Service,Industrials,Air Freight & Logistics,"United Parcel Service, Inc."
URI,United Rentals,Industrials,Trading Companies & Distributors,"United Rentals, Inc."
UNH,UnitedHealth Group,Health Care,Managed Health Care,UnitedHealth Group Incorporated
UHS,Universal Health Services,Health Care,Health Care Facilities,"Universal Health Services, Inc."
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,Valero Energy Corporation
VTR,Ventas,Real Estate,Health Care REITs,"Ventas, Inc."
VLTO,Veralto,Industrials,Environmental & Facilities Services,Veralto Corporation
VRSN,Verisign,Information Technology,Internet Services & Infrastructure,"VeriSign, Inc."
VRSK,Verisk Analytics,Industrials,Research & Consulting Services,"Verisk Analytics, Inc."
VZ,Verizon,Communication Services,Integrated Telecommunication Services,Verizon Communications Inc.
VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology,Vertex Pharmaceuticals Incorporated
VTRS,Viatris,Health Care,Pharmaceuticals,Viatris Inc.
VICI,Vici Properties,Real Estate,Hotel & Resort REITs,VICI Properties Inc.
V,Visa Inc.,Financials,Transaction & Payment Processing Services,Visa Inc.
VST,Vistra Corp.,Utilities,Electric Utilities,Vistra Corp.
VMC,Vulcan Materials Company,Materials,Construction Materials,Vulcan Materials Company
WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,W. R. Berkley Corporation
GWW,W. W. Grainger,Industrials,Industrial Machinery & Supplies & Components,"W.W. Grainger, Inc."
WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,Westinghouse Air Brake Technologies Corporation
WBA,Walgreens Boots Alliance,Consumer Staples,Drug Retail,"Walgreens Boots Alliance, Inc."
WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,Walmart Inc.
DIS,Walt Disney Company (The),Communication Services,Movies & Entertainment,The Walt Disney Company
WBD,Warner Bros. Discovery,Communication Services,Broadcasting,"Warner Bros. Discovery, Inc."
WM,Waste Management,Industrials,Environmental & Facilities Services,"Waste Management, Inc."
WAT,Waters Corporation,Health Care,Life Sciences Tools & Services,Waters Corporation
WEC,WEC Energy Group,Utilities,Electric Utilities,"WEC Energy Group, Inc."
WFC,Wells Fargo,Financials,Diversified Banks,Wells Fargo & Company
WELL,Welltower,Real Estate,Health Care REITs,Welltower Inc.
WST,West Pharmaceutical Services,Health Care,Health Care Supplies,"West Pharmaceutical Services, Inc."
WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals",Western Digital Corporation
WY,Weyerhaeuser,Real Estate,Timber REITs,Weyerhaeuser Company
WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,Homefurnishing Retail,"Williams-Sonoma, Inc."
WMB,Williams Companies,Energy,Oil & Gas Storage & Transportation,"The Williams Companies, Inc."
WTW,Willis Towers Watson,Financials,Insurance Brokers,Willis Towers Watson Public Limited Company
WDAY,"Workday, Inc.",Information Technology,Application Software,"Workday, Inc."
WYNN,Wynn Resorts,Consumer Discretionary,Casinos & Gaming,"Wynn Resorts, Limited"
XEL,Xcel Energy,Utilities,Multi-Utilities,Xcel Energy Inc.
XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,Xylem Inc.
YUM,Yum! Brands,Consumer Discretionary,Restaurants,"Yum! Brands, Inc."
ZBRA,Zebra Technologies,Information Technology,Electronic Equipment & Instruments,Zebra Technologies Corporation
ZBH,Zimmer Biomet,Health Care,Health Care Equipment,"Zimmer Biomet Holdings, Inc."
ZTS,Zoetis,Health Care,Pharmaceuticals,Zoetis Inc.
